siteID,plotID,siteName,plotType,longitude,latitude,elevation,Year,Landsat_NPP
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,2015,2489.8776978417263
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,2020,1435.5755395683452
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,2016,1972.165467625899
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,2017,2232.791366906474
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,2018,1821.2302158273378
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,2019,1074.5035971223022
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,2013,1637.1654676258993
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,2014,2822.4244604316546
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,2015,2491.230215827338
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,2020,591.5827338129496
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,2016,1869.1702127659573
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,2017,2116.2978723404253
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,2018,1781.404255319149
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,2019,1972.5106382978722
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,2013,1731.1063829787233
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,2014,2618.085106382978
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,2015,2353.95744680851
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,2020,1378.595744680851
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,2016,1827.5106382978722
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,2017,2140.446808510638
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,2018,1877
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,2019,2002.517730496454
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,2013,1597.9858156028367
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,2014,2695.0141843971633
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,2015,2483.5815602836883
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,2020,1396.0141843971633
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,2016,1971.6407185628743
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,2017,2223.5149700598804
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,2018,1838.233532934132
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,2019,1052.2814371257484
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,2013,1574.2814371257484
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,2014,2545.323353293413
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,2015,2543.6287425149703
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,2020,589.7185628742516
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,2016,1923.2857142857142
