siteID,plotID,siteName,plotType,longitude,latitude,elevation,NPP_2016,NPP_2017,NPP_2018,NPP_2019,NPP_2013,NPP_2014,NPP_2015,NPP_2020
DCFS,DCFS_074,Dakota Coteau Field Site NEON,tower,-99.104738,47.160432,576.38,4816.374193548388,4142.683870967741,3900.638709677419,4366.812903225807,3272.554838709677,3991.625806451613,4046.4193548387098,4105.870967741936
DCFS,DCFS_076,Dakota Coteau Field Site NEON,tower,-99.112259,47.160418,565.22,4910.7467532467535,4243.279220779221,4047.8831168831175,4414.837662337663,3266.5389610389616,4104.519480519481,4207.668831168831,4265.83116883117
DCFS,DCFS_077,Dakota Coteau Field Site NEON,tower,-99.109498,47.161519,569.74,4780.768817204301,4189.779569892473,3918.44623655914,4358.462365591398,3274.451612903226,4005.5591397849457,4064.4354838709683,4076.8010752688174
DCFS,DCFS_078,Dakota Coteau Field Site NEON,tower,-99.109487,47.165555,562.97,4800.89417989418,4244.148148148149,3959.7671957671955,4361.396825396825,3220.9312169312166,3987.6190476190473,4138.306878306878,4150.354497354498
DCFS,DCFS_079,Dakota Coteau Field Site NEON,tower,-99.110684,47.160423,567.14,4915.454545454545,4233.272727272727,4061.9610389610384,4424.974025974026,3287.311688311688,4066.675324675324,4129.636363636363,4209.87012987013
DCFS,DCFS_080,Dakota Coteau Field Site NEON,tower,-99.107109,47.163661,568.1,4943.909677419354,4386.406451612903,3993.9870967741936,4487.393548387097,3346.9677419354844,4085.3870967741937,4199.741935483871,4203.206451612904
DCFS,DCFS_081,Dakota Coteau Field Site NEON,tower,-99.111067,47.163394,571.85,4687.806451612904,4043.03870967742,3750.696774193549,4333.148387096775,3243.6258064516132,3858.309677419355,3958.2129032258067,3988.0967741935483
DCFS,DCFS_082,Dakota Coteau Field Site NEON,tower,-99.105917,47.160979,574.51,4821.403225806452,4164.865591397849,3798.6451612903224,4347.989247311828,3251.1612903225805,4032.408602150537,4033.8225806451605,4022.010752688172
DCFS,DCFS_084,Dakota Coteau Field Site NEON,tower,-99.111467,47.161236,570.3,4818.438709677419,3945.6451612903224,3795.8645161290315,4314.103225806452,3251.9096774193545,3986.4645161290323,3998.2580645161283,4060.0709677419345
DCFS,DCFS_086,Dakota Coteau Field Site NEON,tower,-99.108299,47.165291,564.61,4854.416216216216,4096.1621621621625,3888.0918918918924,4370.437837837839,3215.5135135135138,3958.205405405405,4062.454054054054,4090.264864864865
DCFS,DCFS_088,Dakota Coteau Field Site NEON,tower,-99.108693,47.162863,571.27,4764.923913043478,4289.33695652174,3937.353260869565,4389.130434782609,3289.2119565217386,3974.679347826087,4130.782608695653,4121.538043478261
DCFS,DCFS_089,Dakota Coteau Field Site NEON,tower,-99.107911,47.165821,569.78,4730.774193548387,3991.787096774194,3842.2709677419357,4296.509677419355,3062.470967741936,3785.651612903226,3975.3741935483877,3992.070967741936
